Основное средство;Инвентарный номер;Подразделение;Дата принятия к учету
Установка стомат. LINEA ESSE (оранжевый) OMS Италия;УПК005777;МСК-СВЛ Стоматологическое отделение;18.04.2012
Установка стомат. LINEA ESSE (оранжевый) OMS Италия;УПК005780;МСК-СВЛ Стоматологическое отделение;18.04.2012
Установка стомат. LINEA ESSE (оранжевый) OMS Италия;УПК006602;МСК-СВЛ Стоматологическое отделение;10.12.2014
Регистратор цифровой для холтеровского мониторинга SEER  Light с принадлежностями;УПК006621;МСК-СВЛ Терапевтическое отделение №1;30.04.2013
Электрокардиограф МАС 1600  с принадлежностями;УПК006601;МСК-СВЛ Терапевтическое отделение №1;30.04.2013
Электрокардиограф МАС 1600  с принадлежностями;УПК006598;МСК-СВЛ Терапевтическое отделение №1;04.09.2015
Комплекс программно-аппаратный суточного мониторирования АД «БиПиЛаб»;БП-000374;МСК-СВЛ Терапевтическое отделение №1;19.10.2022
Комплекс программно-аппаратный суточного мониторирования АД «БиПиЛаб»;БП-000373;МСК-СВЛ Терапевтическое отделение №1;19.10.2022
Комплекс программно-аппаратный суточного мониторирования АД «БиПиЛаб»;БП-000372;МСК-СВЛ Терапевтическое отделение №1;19.10.2022
Комплекс программно-аппаратный суточного мониторирования АД «БиПиЛаб»;БП-000371;МСК-СВЛ Терапевтическое отделение №1;19.10.2022
Комплекс программно-аппаратный суточного мониторирования АД «БиПиЛаб»;БП-000370;МСК-СВЛ Терапевтическое отделение №1;19.10.2022
Электрокардиограф МАС 1600  с принадлежностями;УПК005868;МСК-СВЛ Терапевтическое отделение №1;20.04.2012
"Кардиорегистратор ""МИОКАРД-ХОЛТЕР-2"" без экрана";БП-000313;МСК-СВЛ Терапевтическое отделение №1;02.08.2022
"Кардиорегистратор ""МИОКАРД-ХОЛТЕР-2"" без экрана";БП-000312;МСК-СВЛ Терапевтическое отделение №1;02.08.2022
"Кардиорегистратор ""МИОКАРД-ХОЛТЕР-2"" без экрана";БП-000311;МСК-СВЛ Терапевтическое отделение №1;02.08.2022
"Система функционирования диагностики нагрузочных тестов ""CARDIO SOFT"" с принадлежностями";УПК005837;МСК-СВЛ Терапевтическое отделение №1;20.04.2012
"Кардиорегистратор ""МИОКАРД-ХОЛТЕР-2"" без экрана";БП-000310;МСК-СВЛ Терапевтическое отделение №1;02.08.2022
"Система функционирования диагностики нагрузочных тестов ""CARDIO SOFT"" с принадлежностями";УПК005836;МСК-СВЛ Терапевтическое отделение №1;20.04.2012
Регистратор цифровой для холтеровского мониторинга SEER  Light с принадлежностями;УПК005815;МСК-СВЛ Терапевтическое отделение №1;20.04.2012
Велоэргометр для проведения нагрузочных тестов с принадлежностями;УПК005649;МСК-СВЛ Терапевтическое отделение №1;20.04.2012
"Кардиорегистратор ""МИОКАРД-ХОЛТЕР-2"" без экрана";БП-000191;МСК-СВЛ Терапевтическое отделение №1;27.04.2022
"Кардиорегистратор ""МИОКАРД-ХОЛТЕР-2"" без экрана";БП-000192;МСК-СВЛ Терапевтическое отделение №1;27.04.2022
"Кардиорегистратор ""МИОКАРД-ХОЛТЕР-2"" без экрана";БП-000193;МСК-СВЛ Терапевтическое отделение №1;27.04.2022
"Кардиорегистратор ""МИОКАРД-ХОЛТЕР-2"" без экрана";БП-000194;МСК-СВЛ Терапевтическое отделение №1;27.04.2022
Регистратор цифровой для холтеровского мониторинга SEER  Light с принадлежностями;УПК005814;МСК-СВЛ Терапевтическое отделение №1;20.04.2012
Дефибрилятор ZOLL модель AED PLUS с принадлежностями;УПК008310;МСК-СВЛ Терапевтическое отделение №1;15.12.2020
Регистратор цифровой для холтеровского мониторинга SEER  Light с принадлежностями;УПК005813;МСК-СВЛ Терапевтическое отделение №1;20.04.2012
Регистратор цифровой для холтеровского мониторинга SEER  Light с принадлежностями;УПК005812;МСК-СВЛ Терапевтическое отделение №1;20.04.2012
Регистратор цифровой для холтеровского мониторинга SEER  Light с принадлежностями;УПК005811;МСК-СВЛ Терапевтическое отделение №1;20.04.2012
Монитор окиси азота в выдыхаемом воздухе NOBreath, портативный, с принадлеж-ми, Великобритания;УПК008049;МСК-СВЛ Терапевтическое отделение №1;31.07.2019
Комплекс суточного мониторирования ЭКГ «МИОКАРД-ХОЛТЕР-2» с одним кардиорегистратором без экрана;БП-000190;МСК-СВЛ Терапевтическое отделение №1;27.04.2022
Регистратор цифровой для холтеровского мониторинга SEER  Light с принадлежностями;УПК005810;МСК-СВЛ Терапевтическое отделение №1;20.04.2012
Спирометр SpiroUSB в комплекте с принадлежностями;БП-000203;МСК-СВЛ Терапевтическое отделение №1;06.05.2022
Регистратор цифровой для холтеровского мониторинга SEER  Light с принадлежностями;УПК007153;МСК-СВЛ Терапевтическое отделение №1;28.02.2015
Дорожка беговая для проведения нагрузочных тестов с принадлежностями, модели: Т2100;УПК005679;МСК-СВЛ Терапевтическое отделение №1;20.04.2012
Экспресс-анализатор кардиомаркеров ибиомаркеров Nano-Checker 710 портативный;УПК007630;МСК-СВЛ Терапевтическое отделение №1;24.09.2018
"Дефибрилятор-монитор ДКИ-Н-10 ""Аксион""";УПК007608;МСК-СВЛ Терапевтическое отделение №1;31.07.2018
Регистратор цифровой для холтеровского мониторинга SEER  Light с принадлежностями;УПК006625;МСК-СВЛ Терапевтическое отделение №1;30.04.2013
Регистратор цифровой для холтеровского мониторинга SEER  Light с принадлежностями;УПК006624;МСК-СВЛ Терапевтическое отделение №1;30.04.2013
Регистратор цифровой для холтеровского мониторинга SEER  Light с принадлежностями;УПК006623;МСК-СВЛ Терапевтическое отделение №1;30.04.2013
Регистратор цифровой для холтеровского мониторинга SEER  Light с принадлежностями;УПК006622;МСК-СВЛ Терапевтическое отделение №1;30.04.2013
Эвакуатор дыма Clian Vac (Клин Вак);УПК005900;МСК-СВЛ Терапевтическое отделение №2;05.05.2012
Установка ультрозвуковая диагностическая медицинская Logiq Book XP с принадлежностями;УПК006704;МСК-СВЛ Терапевтическое отделение №2;10.12.2014
Аппарат Полимаг-02 (вариант пост. №2 с комплектом для организации АРМ 1);УПК007453;МСК-СВЛ Терапевтическое отделение №2;28.12.2016
Аппарат лазерный СО-2 КОСМО ПУЛЬС 25 медицинский;УПК005889;МСК-СВЛ Терапевтическое отделение №2;05.07.2012
Аппарат физиотерапевтический ФИЗИОМЕД-Эксперт (с принадл.) для терапии стимулирующим током;УПК008128;МСК-СВЛ Терапевтическое отделение №2;04.06.2020
"Аппарат  ЭХВЧ-80-03 ""ФОТЕК""";УПК007935;МСК-СВЛ Терапевтическое отделение №2;24.06.2019
Дерматоскоп  Delta 20 Plus в наборе с принадлежностями Heine Optotechnik GmbH &Co. KG;БП-001177;МСК-СВЛ Терапевтическое отделение №2;31.08.2023
Аппарат физиотерапевтический ФИЗИОМЕД-Эксперт;УПК005654;МСК-СВЛ Терапевтическое отделение №2;18.04.2012
Аппарат физиотерапевтический ХИВАМАТ 200 в стандартной комплектации;УПК005656;МСК-СВЛ Терапевтическое отделение №2;18.04.2012
Эхоэнцефалограф СОНОМЕД 315 (вариант исполнения С);УПК006328;МСК-СВЛ Терапевтическое отделение №2;10.06.2013
Аппарат физиотерапевтический ЛИМФАВИЖИН-Эксперт  ;УПК005987;МСК-СВЛ Терапевтическое отделение №2;06.07.2012
"Аппарат  ВТ-02-1-""Вибротестер-МБН""";УПК006787;МСК-СВЛ Терапевтическое отделение №2;10.01.2013
"Прибор для электро-хирургии ""Сургитрон ЕМС"" портативный";УПК005747;МСК-СВЛ Терапевтическое отделение №2;11.04.2012
Электромиограф Keypoint Focus с принадлежностями;УПК007218;МСК-СВЛ Терапевтическое отделение №2;25.08.2015
"Аппарат физиотерапевтический  ДМВ-20-1 ""Ранет""";УПК006370;МСК-СВЛ Терапевтическое отделение №2;10.06.2013
Аппарат физиотерапевтический ЛИМФАВИЖИН-Эксперт  ;УПК006373;МСК-СВЛ Терапевтическое отделение №2;10.12.2014
Комплекс компьютерный многофункциональный для исслед. ЭЭГ и ВП Нейрон-Спектр-4/П;УПК006935;МСК-СВЛ Терапевтическое отделение №2;29.08.2013
Датчик УЗИ линейный 4-12MHz для LogiqBook XP;УПК007073;МСК-СВЛ Терапевтическое отделение №2;01.10.2014
Аппарат электрический вибромассажный MAHYTHE SYSTEMS,Аппарат Matrixmobile в комплекте;УПК005359;МСК-СВЛ Терапевтическое отделение №2;17.11.2011
Сервер VIRTUAL 1 для Ступино HP DL380 Gen9 C212;УПК007200;МСК-СВЛ Технический отдел;10.06.2015
Сервер VIRTUAL 2 для Ступино HP DL380 Gen9 C212;УПК007201;МСК-СВЛ Технический отдел;10.06.2015
Сервер mssnk-pacs  для Ступино HP DL380 Gen9 C212;УПК007202;МСК-СВЛ Технический отдел;10.06.2015
Сервер MSSU-PACS  HP DL380 Gen9 C212;УПК007203;МСК-СВЛ Технический отдел;10.06.2015
Маршрутизатор 4800 Next Generation Threat Prevention Appliance;УПК007167;МСК-СВЛ Технический отдел;17.04.2015
Система управления Smart-1 3050 Appliance with Policy and Log and Event Security Management for 50 S;УПК007168;МСК-СВЛ Технический отдел;17.04.2015
Коммутатор Catalyst 3750X 24 Port Data IP Base;УПК007169;МСК-СВЛ Технический отдел;17.04.2015
Принтер лазерный Canon i-Sensys LBP246DW (5952C006) A4 Duplex WiFi белый;БП-001445;МСК-СВЛ Технический отдел;24.09.2024
Сервер HP DL360 Gen10;УПК007645;МСК-СВЛ Технический отдел;25.10.2018
"Сервер ""Proliant DL380 Gen9 E5-2620v3Rack(2U)(752688-B21)""компл";УПК007473;МСК-СВЛ Технический отдел;06.03.2017
ИБП (Источник Бесперебойного Питания) SRT10KRMXLIAPC by Shneider Electric Smart-UPS SRT 10000VA RM 2;УПК007458;МСК-СВЛ Технический отдел;27.01.2017
"Сервер ""Proliant DL380 Gen9 E5-2620v3 (719064-B21)""";УПК007373;МСК-СВЛ Технический отдел;30.06.2016
Принтер лазерный Canon i-Sensys LBP246DW (5952C006) A4 Duplex WiFi белый;БП-001444;МСК-СВЛ Технический отдел;24.09.2024
Сервер HP DL360 Gen10;УПК007644;МСК-СВЛ Технический отдел;25.10.2018
Принтер лазерный Canon i-Sensys LBP246DW (5952C006) A4 Duplex WiFi белый;БП-001442;МСК-СВЛ Технический отдел;17.09.2024
Сервер (752687-B21) DL380Gen9 E5-2620v3 (2.4GHz-15MB) 6-Core (2 max) / 1x16GB (DDR4-2133) RDIMM / P4;УПК007455;МСК-СВЛ Технический отдел;13.01.2017
Система хранения данных MSA 2052;УПК007643;МСК-СВЛ Технический отдел;25.10.2018
Коммутатор Cisco Nexus N3K-C3064PQ-10GX_L3;БП-001309;МСК-СВЛ Технический отдел;19.01.2024
Источник бесперебойного питания APC Smart-UPS SRT 5000 ВА, стоечного исполнения, 230 В;БП-001308;МСК-СВЛ Технический отдел;19.01.2024
СХД (система хранения данных) EonStor GS 1000 Gen2 2U/24bay, cloud-integrated unified storage, suppo;БП-001307;МСК-СВЛ Технический отдел;19.01.2024
Сервер DL360 gen10 / 2x6230 / 12x32GB / 4x SSD 240GB SATA RI Enterprise / Контроллер SATA S100i ZM /;БП-001306;МСК-СВЛ Технический отдел;19.01.2024
Сервер DL360 gen10 / 2x6230 / 12x32GB / 4x SSD 240GB SATA RI Enterprise / Контроллер SATA S100i ZM /;БП-001305;МСК-СВЛ Технический отдел;19.01.2024
Сервер DL360 gen10 / 2x6230 / 12x32GB / 4x SSD 240GB SATA RI Enterprise / Контроллер SATA S100i ZM /;БП-001304;МСК-СВЛ Технический отдел;19.01.2024
Сервер DL360 gen10 / 2x6230 / 12x32GB / 4x SSD 240GB SATA RI Enterprise / Контроллер SATA S100i ZM /;БП-001303;МСК-СВЛ Технический отдел;19.01.2024
Маршрутизатор MikroTik Cloud Core Router 1036-8G-2S+EM, Tilera Tile-Gx36 CPU (36-cores, 1.2Ghz per c;БП-001302;МСК-СВЛ Технический отдел;19.01.2024
Маршрутизатор MikroTik Cloud Core Router 1036-8G-2S+EM, Tilera Tile-Gx36 CPU (36-cores, 1.2Ghz per c;БП-001301;МСК-СВЛ Технический отдел;19.01.2024
Маршрутизатор MikroTik CCR1009-7G-1C-1S+ Cloud Core Router;БП-001300;МСК-СВЛ Технический отдел;19.01.2024
Маршрутизатор MikroTik CCR1009-7G-1C-1S+ Cloud Core Router;БП-001299;МСК-СВЛ Технический отдел;19.01.2024
Сервер (752687-B21) DL380Gen9 E5-2620v3 (2.4GHz-15MB) 6-Core (2 max) / 1x16GB (DDR4-2133) RDIMM / P4;УПК007431;МСК-СВЛ Технический отдел;16.12.2016
Сервер dcom;УПК005909;МСК-СВЛ Технический отдел;11.05.2012
Сервер HP DL360 Gen10;УПК007640;МСК-СВЛ Технический отдел;25.10.2018
Маршрутизатор CheckPoint 4400 Appliance T-140;УПК006853;МСК-СВЛ Технический отдел;10.06.2013
Сервер Prolliant DL380р Gen8 T5-2609 Rack(2U)/Xeon4C компл сервер term;УПК006826;МСК-СВЛ Технический отдел;10.06.2013
Сервер Gladius 2025ХQ08 2540;УПК003515;МСК-СВЛ Технический отдел;02.07.2010
Сервер HP DL360 Gen10;УПК007639;МСК-СВЛ Технический отдел;25.10.2018
Сервер (752687-B21) DL380Gen9 E5-2620v3 (2.4GHz-15MB) 6-Core (2 max) / 1x16GB (DDR4-2133) RDIMM / P;УПК007338;МСК-СВЛ Технический отдел;27.04.2016
Принтер лазерный Canon i-Sensys LBP246DW (5952C006) A4 Duplex WiFi белый;БП-001443;МСК-СВЛ Технический отдел;24.09.2024
Система хранения данных HPE MSA 2052 SAN DC SFF Storage;УПК007740;МСК-СВЛ Технический отдел;28.02.2019
Система хранения данных HPE D3600 Enclosure;УПК007741;МСК-СВЛ Технический отдел;28.02.2019
"Сервер ""Proliant DL380 Gen9 E5-2620v3Rack(2U)(752688-B21)""CZJ6290C46";УПК007502;МСК-СВЛ Технический отдел;30.06.2017
Сервер Prolliant DL380р Gen8 T5-2609 Rack(2U)/Xeon4C компл сервер termНН;УПК006840;МСК-СВЛ Технический отдел;25.06.2013
Системный блок Hightech (i5-12400/MSI PRO H610M-G/DDR4 16GB/SSD М.2 256GB/mATX/300W/Wi Fi USB+K/M);БП-001483;МСК-СВЛ Технический отдел;22.10.2024
Системный блок Hightech (i5-12400/MSI PRO H610M-G/DDR4 16GB/SSD М.2 256GB/mATX/300W/Wi Fi USB+K/M);БП-001482;МСК-СВЛ Технический отдел;22.10.2024
Системный блок Hightech (i5-12400/MSI PRO H610M-G/DDR4 16GB/SSD М.2 256GB/mATX/300W/Wi Fi USB+K/M);БП-001481;МСК-СВЛ Технический отдел;22.10.2024
Коммутатор HPE  8-Port 8Gbit SAN Switch Fibre Channel;УПК007884;МСК-СВЛ Технический отдел;17.06.2019
Сервер Proliant DL380p Gen8 E5-2630v2 Rack(2U)/2xXeon6C 2.6GHz(15MB)/2x16GbR2D_12800(LV)/P420iFBWC);УПК007157;МСК-СВЛ Технический отдел;28.02.2015
Коммутатор S5720-36C-EI-AC Huawei (02359562) S5720-36C-EI Bundle (28 Ethernet 10/100/1000 ports,4 of;БП-000163;МСК-СВЛ Технический отдел;31.03.2022
Принтер лазерный Canon i-Sensys LBP246DW (5952C006) A4 Duplex WiFi белый;БП-001441;МСК-СВЛ Технический отдел;17.09.2024
Дисковый массив HPE MSA 2050 SAS 2x500W SFF Disk Enclosure (Q1J07B);БП-000167;МСК-СВЛ Технический отдел;31.03.2022
Принтер лазерный Canon i-Sensys LBP246DW (5952C006) A4 Duplex WiFi белый;БП-001453;МСК-СВЛ Технический отдел;09.10.2024
Маршрутизатор 20xGE FG-100E;БП-000170;МСК-СВЛ Технический отдел;31.03.2022
Маршрутизатор 20xGE FG-100E;БП-000171;МСК-СВЛ Технический отдел;31.03.2022
Маршрутизатор 5400 Next Generation Threat Prevention Appliance НА;УПК008293;МСК-СВЛ Технический отдел;10.12.2020
Маршрутизатор 5200 Next Generation Threat Prevention Appliance;БП-000174;МСК-СВЛ Технический отдел;31.03.2022
Маршрутизатор FortiGate-600E;БП-000175;МСК-СВЛ Технический отдел;31.03.2022
Маршрутизатор FortiGate-600E;БП-000176;МСК-СВЛ Технический отдел;31.03.2022
"Сервер ""Proliant DL380 Gen9 E5-2620v3Rack(2U)(752688-B21)""";БП-000177;МСК-СВЛ Технический отдел;31.03.2022
Базовый блок Panasonic KX-TDE600RU 10 пластомест+платомест БП тип L (АТС);УПК005681;МСК-СВЛ Технический отдел;11.04.2012
"АПКШ ""Континент"" ЦУС Платформа+Сервер доступа+ключ активации (зеленые)";УПК007499;МСК-СВЛ Технический отдел;26.06.2017
Маршрутизатор Cisco 3925 Voice Bundle, PVDM3-64, UC License PAK, FL-CUBE25 компл;УПК007483;МСК-СВЛ Технический отдел;14.03.2017
Сервер (646905-421) DL360pGen8 2xE5-2690 (2.9GHz-20MB) Eight Core (2 max) ICE / 4x8GB RDIMM / P420i;УПК007388;МСК-СВЛ Технический отдел;08.08.2016
Коммутатор Cisco Catalyst 3850 24 Port Data IP Services, Russia;УПК007482;МСК-СВЛ Технический отдел;14.03.2017
Системный блок Hightech (i5-12400/MSI PRO H610M-G/DDR4 16GB/SSD М.2 256GB/mATX/300W/Wi Fi USB+K/M);БП-001480;МСК-СВЛ Технический отдел;22.10.2024
Принтер лазерный Canon i-Sensys LBP246DW (5952C006) A4 Duplex WiFi белый;БП-001452;МСК-СВЛ Технический отдел;09.10.2024
Маршрутизатор Cisco 3925 Voice Bundle, PVDM3-64, UC License PAK, FL-CUBE10;УПК007522;МСК-СВЛ Технический отдел;31.10.2017
Маршрутизатор Cisco 3925 Voice Bundle, PVDM3-64, UC License PAK, FL-CUBE10;УПК007523;МСК-СВЛ Технический отдел;31.10.2017
Коммутатор Catalyst 2960-XR 24 GigE, 4 x 1G SFP, IP Lite;УПК007524;МСК-СВЛ Технический отдел;31.10.2017
Коммутатор Catalyst 2960L 48 port GigE, 4 x 1G SFP, LAN Lite;УПК007526;МСК-СВЛ Технический отдел;31.10.2017
Сервер HP ML350 Gen9 24 3,5” 5U СЕРВЕРТЭК PACS;УПК007271;МСК-СВЛ Технический отдел;22.12.2015
Серверная система HP DL380 Gen9 в комплектации 719064-B21/817957-L21/ 817957-B21/4х805351-B21/ 4х781;УПК007530;МСК-СВЛ Технический отдел;31.10.2017
Сервер Proliant DL380 Gen9 E5-2620v4 Rack(2U)/Xeon8C 2.1GHz(20MB)/1x16GbR1D_2400/P440arFBWC(2GB/RAID;УФА000227;МСК-СВЛ Технический отдел;31.10.2016
Принтер лазерный Canon i-Sensys LBP246DW (5952C006) A4 Duplex WiFi белый;БП-001451;МСК-СВЛ Технический отдел;09.10.2024
Монитор ЖК ч/б 3Мп NDS Dome E3;УПК006588;МСК-СВЛ Технический отдел;01.02.2017
Сервер GODWIN PRO 4500 2xE5-2609V4/C612/VGA/ 2G10/8x8GER/8xS3_8TB_EN/LSI9361-8I/4U/2x1200W/ RMK/GSCA;УПК007533;МСК-СВЛ Технический отдел;31.10.2017
Коммутатор Catalyst 2960-XR 24 GigE, 4 x 1G SFP, IP Lite;УПК007535;МСК-СВЛ Технический отдел;01.11.2017
Системный блок Hightech (i5-12400/MSI PRO H610M-G/DDR4 16GB/SSD М.2 256GB/mATX/300W/Wi Fi USB+K/M);БП-001489;МСК-СВЛ Технический отдел;22.10.2024
Системный блок Hightech (i5-12400/MSI PRO H610M-G/DDR4 16GB/SSD М.2 256GB/mATX/300W/Wi Fi USB+K/M);БП-001488;МСК-СВЛ Технический отдел;22.10.2024
Сервер IBMx3650M2 XDP-2.26 6x2048/2x146;УПК003820;МСК-СВЛ Технический отдел;29.09.2010
Система контроля доступа;УПК007541;МСК-СВЛ Технический отдел;27.11.2017
Системный блок Hightech (i5-12400/MSI PRO H610M-G/DDR4 16GB/SSD М.2 256GB/mATX/300W/Wi Fi USB+K/M);БП-001487;МСК-СВЛ Технический отдел;22.10.2024
Системный блок Hightech (i5-12400/MSI PRO H610M-G/DDR4 16GB/SSD М.2 256GB/mATX/300W/Wi Fi USB+K/M);БП-001486;МСК-СВЛ Технический отдел;22.10.2024
"Сервер ""Proliant DL380 Gen9 E5-2630v3(719064-B21)""";УПК007369;МСК-СВЛ Технический отдел;27.06.2016
Сервер HP DL380 Gen8 С212;УПК007209;МСК-СВЛ Технический отдел;30.07.2015
Базовый блок Panasonic KX-TDE200RU  (11 слотов + БП типа М) укомпл НН;УПК006791;МСК-СВЛ Технический отдел;25.06.2013
"Сервер ""Proliant DL380pGen8 E5-26**  (642119-421)""";УПК007374;МСК-СВЛ Технический отдел;30.06.2016
"Сервер ""Proliant DL380 Gen9 E5-2620v3(752687-B21)""";УПК007368;МСК-СВЛ Технический отдел;27.06.2016
Маршрутизатор CheckPoint 4400 Appliance T-140;УПК006852;МСК-СВЛ Технический отдел;10.06.2013
Системный блок Hightech (i5-12400/MSI PRO H610M-G/DDR4 16GB/SSD М.2 256GB/mATX/300W/Wi Fi USB+K/M);БП-001485;МСК-СВЛ Технический отдел;22.10.2024
"Сервер ""Proliant DL380pGen8 E5-2630 (2U) (642119-421)""";УПК007356;МСК-СВЛ Технический отдел;26.05.2016
Сервер комплект для бекапа Аsus;КРС000016;МСК-СВЛ Технический отдел;13.07.2016
Маршрутизатор 4800 Next Generation Threat Prevention Appliance;УПК007020;МСК-СВЛ Технический отдел;02.06.2014
Коммутатор Catalyst 3750X 24 Port Data IP Base;УПК007021;МСК-СВЛ Технический отдел;02.06.2014
Сервер IBMx3650M2 XDP-2.26 4x2048/2x146;УПК004049;МСК-СВЛ Технический отдел;05.10.2010
Сервер цертальный (файловое хранение) Supermicro 6U;УПК005913;МСК-СВЛ Технический отдел;11.05.2012
Сервер Proliant DL380p Ланит;УПК007058;МСК-СВЛ Технический отдел;10.10.2014
Сервер Proliant DL380p Ланит;УПК007057;МСК-СВЛ Технический отдел;08.10.2014
Сервер Proliant DL380p Ланит;УПК007056;МСК-СВЛ Технический отдел;08.10.2014
Сервер Резерв Х3400 IBM;УПК005911;МСК-СВЛ Технический отдел;11.05.2012
Коммутатор Cisco Catalyst 3850 24 Port Data IP Services, Russia;УПК007481;МСК-СВЛ Технический отдел;14.03.2017
"Сервер ""Proliant DL380 Gen9 E5-2620v3Rack(2U)(752688-B21)""CZJ629013Y";УПК007503;МСК-СВЛ Технический отдел;30.06.2017
Сервер  DL320e Gen8 v2 для Infratel Ланит;УПК007075;МСК-СВЛ Технический отдел;19.11.2014
"Сервер ""Proliant DL380 Gen9 E5-2620v3Rack(2U)(752688-B21)""CZJ6290C45";УПК007501;МСК-СВЛ Технический отдел;30.06.2017
Сервер Proliant DL380p Ланит;УПК007063;МСК-СВЛ Технический отдел;27.10.2014
Системный блок Hightech (i5-12400/MSI PRO H610M-G/DDR4 16GB/SSD М.2 256GB/mATX/300W/Wi Fi USB+K/M);БП-001484;МСК-СВЛ Технический отдел;22.10.2024
Сервер Proliant DL380p Ланит;УПК007199;МСК-СВЛ Технический отдел;10.06.2015
Сервер Prolliant DL380р Gen8 T5-2609 Rack(2U)/Xeon4C компл;УПК006827;МСК-СВЛ Технический отдел;10.06.2013
Коммутатор HPE 1950 12XGT 4SFP+ Switch;УПК007743;МСК-СВЛ Технический отдел;28.02.2019
Коммутатор HPE 1950 12XGT 4SFP+ Switch;УПК007742;МСК-СВЛ Технический отдел;28.02.2019
Осветитель медицинский налобный ML4 LED;УПК007703;МСК-СВЛ Хирургическое отделение №1;07.02.2019
125411//Цистоуретроскоп операционный с волоконным световодом ЦуО-ВС-11, модель 011S//ОС-0026;БП-000625;МСК-СВЛ Хирургическое отделение №1;07.04.2023
Монитор пациента модель М9500 с принадлежностями;КЗН000224;МСК-СВЛ Хирургическое отделение №1;24.10.2017
Аппарат ТОНЗИЛООР- ММ ультразвуковой низкочастотный оториноларингологический СПБ;СПБ000983;МСК-СВЛ Хирургическое отделение №1;12.08.2013
Набор инструментов для гибкой цистоскопии;УПК008304;МСК-СВЛ Хирургическое отделение №1;14.12.2020
Импедансометр easyTymp с принадлежностями ;БП-001170;МСК-СВЛ Хирургическое отделение №1;24.08.2023
Видео монитор 19 NDS EndoVue;УПК005651;МСК-СВЛ Хирургическое отделение №1;11.04.2012
Пристенный модуль с мойкой ПМ-8;УПК007273;МСК-СВЛ Хирургическое отделение №1;25.12.2015
Импедансометр easyTymp с принадлежностями ;БП-001169;МСК-СВЛ Хирургическое отделение №1;24.08.2023
Аппарат ТОНЗИЛООР- ММ ультразвуковой низкочастотный отоларингический ;СРТ001470;МСК-СВЛ Хирургическое отделение №1;27.08.2013
Устройство для проверки эндоскопов на герметичность MU-1;БП-000206;МСК-СВЛ Хирургическое отделение №1;30.05.2022
Каталка для перевозки пациентов Emergo 6250;БП-000205;МСК-СВЛ Хирургическое отделение №1;30.05.2022
Устройство автоматизированной сушки и хранения гибких эндоскопов ЭНДОКАБ-8А с принадлежностями;БП-000202;МСК-СВЛ Хирургическое отделение №1;11.05.2022
Урофлоуметрическая система Urocap-III с пренадлежностями;УПК007263;МСК-СВЛ Хирургическое отделение №1;08.12.2015
Отоларингологическая установка С31 с принадлежностями;УПК006856;МСК-СВЛ Хирургическое отделение №1;30.04.2013
"Комплекс анестезиологический ""Фаза-23""";КЗН000239;МСК-СВЛ Хирургическое отделение №1;28.11.2017
Аппарат искусственной вентилляции легких iVent с принадлежностями;УПК005937;МСК-СВЛ Хирургическое отделение №1;01.06.2012
125403//Аппарат искусственной вентеляции легких CARESCAPE R860//ОС-0176;БП-000913;МСК-СВЛ Хирургическое отделение №1;20.01.2023
Светильник медицинский HiLight LED H-800 с принадлежностями, пр-ва KaWe,Германия;БП-001517;МСК-СВЛ Хирургическое отделение №1;11.11.2024
"Аппарат  ЭХВЧ-80-03 ""ФОТЕК"" с набором для проктологии";УПК007895;МСК-СВЛ Хирургическое отделение №1;21.06.2019
Аудиометр поликлинический Interacoustics  серии AD (AD 226) с принадлежностями;БП-001459;МСК-СВЛ Хирургическое отделение №1;17.10.2024
"Прибор у/з ""Комплексмед"" 4.1 Сканер ультразвуковой для носовых пазух (эхосинускоп)";УПК008086;МСК-СВЛ Хирургическое отделение №1;01.10.2019
"Аппарат искусственной вентилляции легких А-ИВЛ/ВВл-""ТМТ""";УПК007909;МСК-СВЛ Хирургическое отделение №1;21.06.2019
Эвакуатор дыма Clian Vac (Клин Вак);УПК005898;МСК-СВЛ Хирургическое отделение №1;05.05.2012
Установка для мойки гибких эндоскопов серии DetroWash с принадлежностями, вариант 7002;УПК008335;МСК-СВЛ Хирургическое отделение №1;01.02.2021
"Аппарат  ЭХВЧ-80-03 ""ФОТЕК""";УПК008057;МСК-СВЛ Хирургическое отделение №1;14.08.2019
"Аппарат  ЭХВЧ-80-03 ""ФОТЕК""";УПК008058;МСК-СВЛ Хирургическое отделение №1;14.08.2019
"Прибор у/з ""Комплексмед"" 4.1 Сканер ультразвуковой для носовых пазух (эхосинускоп)";УПК008064;МСК-СВЛ Хирургическое отделение №1;14.08.2019
Установка для мойки гибких эндоскопов серии DetroWash с принадлежностями, вариант 7002;УПК008336;МСК-СВЛ Хирургическое отделение №1;01.02.2021
Аудиометр МА 42;УПК007931;МСК-СВЛ Хирургическое отделение №1;21.06.2019
"Тележка медицинская реанимационная ""Медин Эллис-01""";УПК007932;МСК-СВЛ Хирургическое отделение №1;21.06.2019
Эндоскоп 2,7мм, 0 град., 110мм;УПК007648;МСК-СВЛ Хирургическое отделение №1;25.10.2018
"Тележка медицинская реанимационная ""Медин Эллис-01""";УПК007933;МСК-СВЛ Хирургическое отделение №1;21.06.2019
"Монитор прикроватный IMEC 8 ""MINDRAY""";БП-000982;МСК-СВЛ Хирургическое отделение №1;07.02.2023
Установка отоларингологическая С31 Economy с принадлежностями;УПК005866;МСК-СВЛ Хирургическое отделение №1;28.04.2012
